chinese,english,part,part2,prefix,audio
可怕的,terrible,adj,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_258.mp3
第三〈的〉,third,adj,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_259.mp3
雖然,though,adv,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_260.mp3
總計,total,v,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_261.mp3
交通,traffic,n,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_262.mp3
第十二(的),twelfth,adj,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_263.mp3
第二十(的),twentieth,adj,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_264.mp3
兩次,twice,adv,,t,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_265.mp3
了解,understand,v,,u,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_266.mp3
制服,uniform,n,,u,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_267.mp3
直到,until,conj,,u,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_268.mp3
假期,vacation,n,,v,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_269.mp3
蔬菜,vegetable,n,,v,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_270.mp3
聲音,voice,n,,v,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_271.mp3
女服務生,waitress,n,,w,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_272.mp3
星期三,Wednesday,n,,w,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_273.mp3
西方,west,n,,w,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_274.mp3
是否,whether,conj,,w,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_275.mp3
沒有,without,adv,,w,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_276.mp3
極好的,wonderful,adj,,w,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_277.mp3
尚未,yet,adv,,y,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_278.mp3
